EmployeeID,Action,ResourceID,Datetime,Result
10100,access,Server0,2016-01-28 16:43:00,failed
10100,access,Server1,2016-01-28 16:43:00,failed
10100,access,Server2,2016-01-28 16:43:00,failed
10100,access,File0,2016-01-28 16:43:00,failed
10100,access,File1,2016-01-28 16:43:00,failed
10100,access,File2,2016-01-28 16:43:00,failed
10100,access,File3,2016-01-28 16:43:00,failed
10100,access,File4,2016-01-28 16:43:00,failed
10100,access,Folder0,2016-01-28 16:43:00,failed
10100,access,Folder1,2016-01-28 16:43:00,failed
10100,print,Printer0,2016-01-28 16:43:00,failed
10100,print,Printer1,2016-01-28 16:43:00,failed
10101,login,AuthServer,2016-06-16 11:36:00,failed
10101,login,AuthServer,2016-06-16 11:36:00,failed
10101,login,AuthServer,2016-06-16 11:36:00,failed
10101,login,AuthServer,2016-06-16 11:36:00,failed
10101,login,AuthServer,2016-06-16 11:36:00,failed
10101,login,AuthServer,2016-06-16 11:36:00,failed
10101,login,AuthServer,2016-06-16 11:36:00,failed
10123,access,Server3,2016-01-23 15:31:00,failed
10123,access,Server4,2016-01-23 15:31:00,failed
10123,access,File5,2016-01-23 15:31:00,failed
10123,access,File6,2016-01-23 15:31:00,failed
10123,access,File7,2016-01-23 15:31:00,failed
10123,access,File8,2016-01-23 15:31:00,failed
10123,access,File9,2016-01-23 15:31:00,failed
10123,access,Folder2,2016-01-23 15:31:00,failed
10123,access,Folder3,2016-01-23 15:31:00,failed
10123,access,Folder4,2016-01-23 15:31:00,failed
10123,print,Printer2,2016-01-23 15:31:00,failed
10123,access,Server3,2016-02-04 14:18:00,failed
10123,access,Server4,2016-02-04 14:18:00,failed
10123,access,File5,2016-02-04 14:18:00,failed
10123,access,File6,2016-02-04 14:18:00,failed
10123,access,File7,2016-02-04 14:18:00,failed
10123,access,File8,2016-02-04 14:18:00,failed
10123,access,File9,2016-02-04 14:18:00,failed
10123,access,Folder2,2016-02-04 14:18:00,failed
10123,access,Folder3,2016-02-04 14:18:00,failed
10123,access,Folder4,2016-02-04 14:18:00,failed
10123,print,Printer2,2016-02-04 14:18:00,failed
10123,access,Server3,2016-02-19 14:33:00,failed
10123,access,Server4,2016-02-19 14:33:00,failed
10123,access,File5,2016-02-19 14:33:00,failed
10123,access,File6,2016-02-19 14:33:00,failed
10123,access,File7,2016-02-19 14:33:00,failed
10123,access,File8,2016-02-19 14:33:00,failed
10123,access,File9,2016-02-19 14:33:00,failed
10123,access,Folder2,2016-02-19 14:33:00,failed
10123,access,Folder3,2016-02-19 14:33:00,failed
10123,access,Folder4,2016-02-19 14:33:00,failed
10123,print,Printer2,2016-02-19 14:33:00,failed
10145,access,Server3,2016-02-19 14:14:00,failed
10145,access,Server4,2016-02-19 14:14:00,failed
10145,access,File5,2016-02-19 14:14:00,failed
10145,access,File6,2016-02-19 14:14:00,failed
10145,access,File7,2016-02-19 14:14:00,failed
10145,access,File8,2016-02-19 14:14:00,failed
10145,access,File9,2016-02-19 14:14:00,failed
10145,access,Folder2,2016-02-19 14:14:00,failed
10145,access,Folder3,2016-02-19 14:14:00,failed
10145,access,Folder4,2016-02-19 14:14:00,failed
10145,print,Printer2,2016-02-19 14:14:00,failed
10173,login,AuthServer,2016-05-27 12:28:00,failed
10173,login,AuthServer,2016-05-27 12:28:00,failed
10173,login,AuthServer,2016-05-27 12:28:00,failed
10173,login,AuthServer,2016-05-27 12:28:00,failed
10173,login,AuthServer,2016-05-27 12:28:00,failed
10173,login,AuthServer,2016-05-27 12:28:00,failed
10183,access,Server5,2016-03-15 13:24:00,failed
10183,access,Server6,2016-03-15 13:24:00,failed
10183,access,Server7,2016-03-15 13:24:00,failed
10183,access,Server8,2016-03-15 13:24:00,failed
10183,access,Server9,2016-03-15 13:24:00,failed
10183,access,Server10,2016-03-15 13:24:00,failed
10183,access,Server11,2016-03-15 13:24:00,failed
10183,access,Server12,2016-03-15 13:24:00,failed
10183,access,Server13,2016-03-15 13:24:00,failed
10183,access,Server14,2016-03-15 13:24:00,failed
10183,access,File10,2016-03-15 13:24:00,failed
10183,access,File11,2016-03-15 13:24:00,failed
10183,access,File12,2016-03-15 13:24:00,failed
10183,access,File13,2016-03-15 13:24:00,failed
10183,access,File14,2016-03-15 13:24:00,failed
10183,access,File15,2016-03-15 13:24:00,failed
10183,access,File16,2016-03-15 13:24:00,failed
10183,access,File17,2016-03-15 13:24:00,failed
10183,access,File18,2016-03-15 13:24:00,failed
10183,access,File19,2016-03-15 13:24:00,failed
10183,access,File20,2016-03-15 13:24:00,failed
10183,access,File21,2016-03-15 13:24:00,failed
10183,access,File22,2016-03-15 13:24:00,failed
10183,access,File23,2016-03-15 13:24:00,failed
10183,access,File24,2016-03-15 13:24:00,failed
10183,access,File25,2016-03-15 13:24:00,failed
10183,access,File26,2016-03-15 13:24:00,failed
10183,access,File27,2016-03-15 13:24:00,failed
10183,access,File28,2016-03-15 13:24:00,failed
10183,access,File29,2016-03-15 13:24:00,failed
10183,access,Folder5,2016-03-15 13:24:00,failed
10183,access,Folder6,2016-03-15 13:24:00,failed
10183,access,Folder7,2016-03-15 13:24:00,failed
10183,access,Folder8,2016-03-15 13:24:00,failed
10183,access,Folder9,2016-03-15 13:24:00,failed
10183,print,Printer3,2016-03-15 13:24:00,failed
10183,print,Printer4,2016-03-15 13:24:00,failed
10183,print,Printer5,2016-03-15 13:24:00,failed
