EmployeeID,Department,Action,ResourceID,Datetime,Result
10145,Finance,access,Server4,2016-02-19 14:14:00,failed
10123,Finance,access,File6,2016-02-04 14:18:00,failed
10123,Finance,access,File7,2016-02-04 14:18:00,failed
10123,Finance,access,File8,2016-02-04 14:18:00,failed
10123,Finance,access,File9,2016-02-04 14:18:00,failed
10123,Finance,access,Folder2,2016-02-04 14:18:00,failed
10123,Finance,access,Folder4,2016-02-04 14:18:00,failed
10123,Finance,print,Printer2,2016-02-04 14:18:00,failed
10123,Finance,access,Server3,2016-02-19 14:33:00,failed
10123,Finance,access,Server4,2016-02-19 14:33:00,failed
10123,Finance,access,File5,2016-02-19 14:33:00,failed
10123,Finance,access,File6,2016-02-19 14:33:00,failed
10123,Finance,access,File7,2016-02-19 14:33:00,failed
10123,Finance,access,File8,2016-02-19 14:33:00,failed
10123,Finance,access,File5,2016-02-04 14:18:00,failed
10123,Finance,access,File9,2016-02-19 14:33:00,failed
10123,Finance,access,Folder3,2016-02-19 14:33:00,failed
10123,Finance,access,Folder4,2016-02-19 14:33:00,failed
10123,Finance,print,Printer2,2016-02-19 14:33:00,failed
10145,Finance,access,Server3,2016-02-19 14:14:00,failed
10145,Finance,access,File5,2016-02-19 14:14:00,failed
10145,Finance,access,File6,2016-02-19 14:14:00,failed
10145,Finance,access,File7,2016-02-19 14:14:00,failed
10145,Finance,access,File8,2016-02-19 14:14:00,failed
10145,Finance,access,File9,2016-02-19 14:14:00,failed
10145,Finance,access,Folder2,2016-02-19 14:14:00,failed
10145,Finance,access,Folder3,2016-02-19 14:14:00,failed
10145,Finance,access,Folder4,2016-02-19 14:14:00,failed
10145,Finance,print,Printer2,2016-02-19 14:14:00,failed
10123,Finance,access,Folder2,2016-02-19 14:33:00,failed
10123,Finance,access,Server4,2016-02-04 14:18:00,failed
10123,Finance,access,Folder3,2016-02-04 14:18:00,failed
10123,Finance,print,Printer2,2016-01-23 15:31:00,failed
10123,Finance,access,Server3,2016-02-04 14:18:00,failed
10101,Finance,login,AuthServer,2016-06-16 11:36:00,failed
10101,Finance,login,AuthServer,2016-06-16 11:36:00,failed
10101,Finance,login,AuthServer,2016-06-16 11:36:00,failed
10101,Finance,login,AuthServer,2016-06-16 11:36:00,failed
10101,Finance,login,AuthServer,2016-06-16 11:36:00,failed
10101,Finance,login,AuthServer,2016-06-16 11:36:00,failed
10123,Finance,access,Server3,2016-01-23 15:31:00,failed
10123,Finance,access,Server4,2016-01-23 15:31:00,failed
10101,Finance,login,AuthServer,2016-06-16 11:36:00,failed
10123,Finance,access,File6,2016-01-23 15:31:00,failed
10123,Finance,access,File7,2016-01-23 15:31:00,failed
10123,Finance,access,File8,2016-01-23 15:31:00,failed
