EmployeeID,Action,ResourceID,Datetime,Result,Latitude,Longitude
10115,login,AuthServer,2015-11-08 09:49:00,failed,35.24781605,-80.7648944
10115,access,File23,2015-11-08 09:49:00,success,35.29052149,-80.82354452
10121,login,AuthServer,2016-06-18 08:32:00,failed,35.52661873,-80.66291736
10121,login,AuthServer,2016-06-18 08:32:00,success,35.31717105,-80.95142033
10127,login,AuthServer,2015-11-21 10:49:00,failed,35.07932642,-80.67800579
10127,login,AuthServer,2015-11-21 10:49:00,success,35.29678294,-80.66876809
10127,login,AuthServer,2016-03-13 10:48:00,failed,35.50483172,-80.59097291
10127,login,AuthServer,2016-03-13 10:48:00,success,35.29678294,-80.66876809
10127,login,AuthServer,2016-03-19 11:31:00,failed,35.5024789,-80.58214241
10127,access,File36,2016-03-19 11:31:00,success,35.28889856,-80.40355434
10128,login,AuthServer,2015-09-20 10:34:00,failed,35.18113078,-80.82972584
10128,access,File4,2015-09-20 10:34:00,success,35.60231952,-80.79342294
10130,login,AuthServer,2016-04-24 10:34:00,failed,35.1527289,-80.87373519
10130,login,AuthServer,2016-04-24 10:34:00,success,34.97439208,-80.72210655
10131,login,AuthServer,2015-06-14 11:57:00,failed,35.32634759,-80.52918393
10131,login,AuthServer,2015-06-14 11:57:00,success,35.228719,-80.82172
10131,login,AuthServer,2016-01-23 08:41:00,failed,35.30011781,-80.79270268
10131,login,AuthServer,2016-01-23 08:41:00,success,35.47825392,-80.6401338
10133,login,AuthServer,2016-02-21 11:43:00,failed,35.10959348,-80.9660235
10133,access,File23,2016-02-21 11:43:00,success,35.40685747,-80.97415422
10133,login,AuthServer,2016-05-07 11:38:00,failed,35.06437703,-80.6480964
10133,access,Server14,2016-05-07 11:38:00,success,35.36840879,-81.02520827
10141,login,AuthServer,2015-08-01 10:14:00,failed,35.20764336,-80.83653603
10141,login,AuthServer,2015-08-01 10:14:00,success,35.03606965,-80.99941234
10142,login,AuthServer,2015-09-06 08:00:00,failed,35.15048949,-80.57439105
10142,login,AuthServer,2015-09-06 08:00:00,success,35.2251612,-80.76143628
10142,login,AuthServer,2015-10-18 10:09:00,failed,35.00760296,-80.76605179999999
10142,login,AuthServer,2015-10-18 10:09:00,success,35.44274466,-80.76143628
10144,login,AuthServer,2015-06-06 09:37:00,failed,35.4206436,-80.58726724
10144,login,AuthServer,2015-06-06 09:37:00,success,35.38509549,-81.00628356
10145,access,Server19,2016-02-19 14:14:00,success,35.1020398,-80.66595589
10145,login,AuthServer,2016-02-19 14:14:00,success,50.213448,122.30240800000001
10149,login,AuthServer,2015-07-12 09:49:00,failed,35.228719,-80.82172
10149,access,File0,2015-07-12 09:49:00,success,35.02499834,-81.14614789
10152,login,AuthServer,2015-12-19 10:39:00,failed,35.402383799999996,-80.98165012
10152,login,AuthServer,2015-12-19 10:39:00,success,35.27788736,-80.70136452
10152,login,AuthServer,2016-03-12 10:27:00,failed,35.07205814,-80.63786397
10152,access,File5,2016-03-12 10:27:00,success,35.27788736,-80.70136452
10153,login,AuthServer,2016-06-05 08:34:00,failed,35.228719,-80.82172
10153,access,Server17,2016-06-05 08:34:00,success,35.24021876,-81.25431628
10158,login,AuthServer,2015-08-09 10:17:00,failed,35.29913208,-80.81137246
10158,login,AuthServer,2015-08-09 10:17:00,success,35.21631594,-81.07376388
10161,login,AuthServer,2016-01-23 16:22:00,success,33.145223,100.90090699999999
10161,access,Server5,2016-01-23 16:22:00,success,33.137223,101.90090699999999
10162,login,AuthServer,2015-09-19 16:42:00,failed,35.35947906,-81.03384227
10162,access,File36,2015-09-19 16:42:00,success,35.01379971,-80.78034575
10167,login,AuthServer,2015-07-04 11:28:00,failed,35.228719,-80.82172
10167,login,AuthServer,2015-07-04 11:28:00,success,35.2634309,-81.22003643
10167,login,AuthServer,2016-02-12 15:10:00,success,55.213448,134.302408
10167,access,Server15,2016-02-12 15:10:00,success,33.137223,101.90090699999999
10182,login,AuthServer,2015-08-08 08:27:00,failed,35.17468073,-80.89622511
10182,access,File17,2015-08-08 08:27:00,success,35.38827901,-80.84566016
10184,login,AuthServer,2016-05-15 13:34:00,failed,35.03032425,-80.80937518
10184,access,File3,2016-05-15 13:34:00,success,35.11312479,-80.71004048
10185,login,AuthServer,2015-12-06 09:30:00,failed,35.46907402,-81.04870766
10185,access,File32,2015-12-06 09:30:00,success,35.228719,-80.82172
10187,login,AuthServer,2015-07-25 08:20:00,failed,35.35947906,-81.03384227
10187,login,AuthServer,2015-07-25 08:20:00,success,35.14837413,-80.94897421
10187,login,AuthServer,2016-06-26 08:52:00,failed,35.14837413,-80.94897421
10187,access,File39,2016-06-26 08:52:00,success,35.35019085,-81.04189206
10194,login,AuthServer,2015-10-18 09:34:00,failed,35.26622058,-80.56044909999999
10194,login,AuthServer,2015-10-18 09:34:00,success,35.02554325,-80.72692420000001
